MetaItr,TestItr,AverageReturnLastTest,0AverageReturn,0NumTrajs,0StdReturn,0MaxReturn,0MinReturn,stage0_task0last_goal_dist,stage0_task1last_goal_dist,stage0_task2last_goal_dist,1AverageReturn,1NumTrajs,1StdReturn,1MaxReturn,1MinReturn,stage1_task0last_goal_dist,stage1_task1last_goal_dist,stage1_task2last_goal_dist,ILLoss,Time,ItrTime
13,0,564.7212458919835,450.9158374983935,30,34.098275916431255,516.2140625381002,377.73734379780285,1.5343014703161197,1.3271598892311691,1.3988345871438654,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.18640631,561.8390355110168,30.75467538833618
14,1,531.0106515037404,455.0852194512714,30,30.32889595486475,515.5772796373134,393.1084020447523,1.3221383014372736,1.4036345157664667,1.3320350142335518,531.0106515037404,30,14.66599868601904,550.7712740166428,510.6701076801525,0.6646496570642202,0.8164635946199408,0.530988495907605,nan,570.7662055492401,8.913841247558594
14,0,531.0106515037404,461.41996685293725,30,35.02630931880392,539.3238520842946,391.3508563505248,1.1888759680068475,1.3040258308154473,1.4504733479630312,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.17613046,601.8988544940948,31.12830901145935
15,1,563.095966973012,469.8519310685005,30,26.557287831040657,520.8923373495871,422.199024425312,1.245212166926265,1.2414678740331404,1.2141284376802108,563.095966973012,30,5.087495902480269,569.8998422849317,550.2973260947109,0.6387534000158508,0.5256517662095568,0.6929793785360551,nan,611.1519005298615,9.243670463562012
15,0,563.095966973012,462.3114371327572,30,19.984860610122222,501.57547976152523,427.1178467933272,1.3098605732981041,1.306264689087419,1.249128923837047,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.17097606,642.2511651515961,31.088125944137573
16,1,520.0980709326403,465.99506186655225,30,24.205318271310446,532.1217411680166,413.51608799534944,1.2815007222749033,1.2587098833858634,1.1958074842897732,520.0980709326403,33,68.0488745385836,583.1741226508932,435.8521333637203,0.4551078200226383,0.6564346155424096,0.6409818784859544,nan,651.920746088028,9.657194137573242
16,0,520.0980709326403,474.3676574265615,30,27.470157002565276,530.3866814468529,412.96092344490626,1.2138083576579854,1.1379916688222722,1.2737825889799654,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.16649951,682.8136084079742,30.88577389717102
17,1,528.0911544433607,467.9589363273053,30,21.774365680223642,520.3891595912409,409.7543157887566,1.343138427354115,1.3310286168399548,1.2172249060896296,528.0911544433607,30,12.865776588469709,542.5646757123362,508.1771620256735,1.2206721752372467,0.8170279403811913,0.752490666438626,nan,691.9901030063629,9.16395092010498
17,0,528.0911544433607,472.00533055814714,30,23.725694339154476,522.4562645937311,419.9163553295375,1.2324284881619616,1.2759773736912143,1.1044820970644478,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,7.881344,722.8465492725372,30.846883058547974
18,1,408.06604503046213,403.5332277591307,30,20.746810260331294,454.6378221928708,361.0308216817457,1.7868021761169774,1.7509875291953363,1.6296499221588836,408.06604503046213,30,21.85439818474809,427.9989463413164,366.5596091271332,1.6354104083357082,1.7047193014617634,1.2262758975933772,nan,732.0663003921509,9.213051319122314
